FECHA,TIPO
2014-01-01,FESTIVO
2014-01-06,FESTIVO
2014-04-17,FESTIVO
2014-04-18,FESTIVO
2014-05-01,FESTIVO
2014-05-02,FESTIVO
2014-05-15,FESTIVO
2014-06-19,FESTIVO
2014-07-01,REDUCIDA
2014-07-02,REDUCIDA
2014-07-03,REDUCIDA
2014-07-04,REDUCIDA
2014-07-05,REDUCIDA
2014-07-06,REDUCIDA
2014-07-07,REDUCIDA
2014-07-08,REDUCIDA
2014-07-09,REDUCIDA
2014-07-10,REDUCIDA
2014-07-11,REDUCIDA
2014-07-12,REDUCIDA
2014-07-13,REDUCIDA
2014-07-14,REDUCIDA
2014-07-15,REDUCIDA
2014-07-16,REDUCIDA
2014-07-17,REDUCIDA
2014-07-18,REDUCIDA
2014-07-19,REDUCIDA
2014-07-20,REDUCIDA
2014-07-21,REDUCIDA
2014-07-22,REDUCIDA
2014-07-23,REDUCIDA
2014-07-24,REDUCIDA
2014-07-25,REDUCIDA
2014-07-26,REDUCIDA
2014-07-27,REDUCIDA
2014-07-28,REDUCIDA
2014-07-29,REDUCIDA
2014-07-30,REDUCIDA
2014-07-31,REDUCIDA
2014-08-01,REDUCIDA
2014-08-02,REDUCIDA
2014-08-03,REDUCIDA
2014-08-04,REDUCIDA
2014-08-05,REDUCIDA
2014-08-06,REDUCIDA
2014-08-07,REDUCIDA
2014-08-08,REDUCIDA
2014-08-09,REDUCIDA
2014-08-10,REDUCIDA
2014-08-11,REDUCIDA
2014-08-12,REDUCIDA
2014-08-13,REDUCIDA
2014-08-14,REDUCIDA
2014-08-15,FESTIVO
2014-08-16,REDUCIDA
2014-08-17,REDUCIDA
2014-08-18,REDUCIDA
2014-08-19,REDUCIDA
2014-08-20,REDUCIDA
2014-08-21,REDUCIDA
2014-08-22,REDUCIDA
2014-08-23,REDUCIDA
2014-08-24,REDUCIDA
2014-08-25,REDUCIDA
2014-08-26,REDUCIDA
2014-08-27,REDUCIDA
2014-08-28,REDUCIDA
2014-08-29,REDUCIDA
2014-08-30,REDUCIDA
2014-08-31,REDUCIDA
2014-10-01,FESTIVO
2014-10-10,FESTIVO
2014-12-06,FESTIVO
2014-12-08,FESTIVO
2014-12-25,FESTIVO
2015-01-01,FESTIVO
2015-01-06,FESTIVO
2015-03-19,FESTIVO
2015-04-02,FESTIVO
2015-04-03,FESTIVO
2015-05-01,FESTIVO
2015-05-02,FESTIVO
2015-05-15,FESTIVO
2015-06-04,FESTIVO
2015-07-01,REDUCIDA
2015-07-02,REDUCIDA
2015-07-03,REDUCIDA
2015-07-04,REDUCIDA
2015-07-05,REDUCIDA
2015-07-06,REDUCIDA
2015-07-07,REDUCIDA
2015-07-08,REDUCIDA
2015-07-09,REDUCIDA
2015-07-10,REDUCIDA
2015-07-11,REDUCIDA
2015-07-12,REDUCIDA
2015-07-13,REDUCIDA
2015-07-14,REDUCIDA
2015-07-15,REDUCIDA
2015-07-16,REDUCIDA
2015-07-17,REDUCIDA
2015-07-18,REDUCIDA
2015-07-19,REDUCIDA
2015-07-20,REDUCIDA
2015-07-21,REDUCIDA
2015-07-22,REDUCIDA
2015-07-23,REDUCIDA
2015-07-24,REDUCIDA
2015-07-25,REDUCIDA
2015-07-26,REDUCIDA
2015-07-27,REDUCIDA
2015-07-28,REDUCIDA
2015-07-29,REDUCIDA
2015-07-30,REDUCIDA
2015-07-31,REDUCIDA
2015-08-01,REDUCIDA
2015-08-02,REDUCIDA
2015-08-03,REDUCIDA
2015-08-04,REDUCIDA
2015-08-05,REDUCIDA
2015-08-06,REDUCIDA
2015-08-07,REDUCIDA
2015-08-08,REDUCIDA
2015-08-09,REDUCIDA
2015-08-10,REDUCIDA
2015-08-11,REDUCIDA
2015-08-12,REDUCIDA
2015-08-13,REDUCIDA
2015-08-14,REDUCIDA
2015-08-15,FESTIVO
2015-08-16,REDUCIDA
2015-08-17,REDUCIDA
2015-08-18,REDUCIDA
2015-08-19,REDUCIDA
2015-08-20,REDUCIDA
2015-08-21,REDUCIDA
2015-08-22,REDUCIDA
2015-08-23,REDUCIDA
2015-08-24,REDUCIDA
2015-08-25,REDUCIDA
2015-08-26,REDUCIDA
2015-08-27,REDUCIDA
2015-08-28,REDUCIDA
2015-08-29,REDUCIDA
2015-08-30,REDUCIDA
2015-08-31,REDUCIDA
2015-10-12,FESTIVO
2015-11-09,FESTIVO
2015-12-08,FESTIVO
2015-12-25,FESTIVO
2016-01-01,FESTIVO
2016-01-06,FESTIVO
2015-03-24,FESTIVO
2015-03-25,FESTIVO
2015-05-02,FESTIVO
2015-05-16,FESTIVO
2016-07-01,REDUCIDA
2016-07-02,REDUCIDA
2016-07-03,REDUCIDA
2016-07-04,REDUCIDA
2016-07-05,REDUCIDA
2016-07-06,REDUCIDA
2016-07-07,REDUCIDA
2016-07-08,REDUCIDA
2016-07-09,REDUCIDA
2016-07-10,REDUCIDA
2016-07-11,REDUCIDA
2016-07-12,REDUCIDA
2016-07-13,REDUCIDA
2016-07-14,REDUCIDA
2016-07-15,REDUCIDA
2016-07-16,REDUCIDA
2016-07-17,REDUCIDA
2016-07-18,REDUCIDA
2016-07-19,REDUCIDA
2016-07-20,REDUCIDA
2016-07-21,REDUCIDA
2016-07-22,REDUCIDA
2016-07-23,REDUCIDA
2016-07-24,REDUCIDA
2016-07-25,FESTIVO
2016-07-26,REDUCIDA
2016-07-27,REDUCIDA
2016-07-28,REDUCIDA
2016-07-29,REDUCIDA
2016-07-30,REDUCIDA
2016-07-31,REDUCIDA
2016-08-01,REDUCIDA
2016-08-02,REDUCIDA
2016-08-03,REDUCIDA
2016-08-04,REDUCIDA
2016-08-05,REDUCIDA
2016-08-06,REDUCIDA
2016-08-07,REDUCIDA
2016-08-08,REDUCIDA
2016-08-09,REDUCIDA
2016-08-10,REDUCIDA
2016-08-11,REDUCIDA
2016-08-12,REDUCIDA
2016-08-13,REDUCIDA
2016-08-14,REDUCIDA
2016-08-15,FESTIVO
2016-08-16,REDUCIDA
2016-08-17,REDUCIDA
2016-08-18,REDUCIDA
2016-08-19,REDUCIDA
2016-08-20,REDUCIDA
2016-08-21,REDUCIDA
2016-08-22,REDUCIDA
2016-08-23,REDUCIDA
2016-08-24,REDUCIDA
2016-08-25,REDUCIDA
2016-08-26,REDUCIDA
2016-08-27,REDUCIDA
2016-08-28,REDUCIDA
2016-08-29,REDUCIDA
2016-08-30,REDUCIDA
2016-08-31,REDUCIDA
2016-10-12,FESTIVO
2016-11-01,FESTIVO
2016-11-09,FESTIVO
2016-12-06,FESTIVO
2016-12-08,FESTIVO
2016-12-26,FESTIVO
